Query number,Original query,Correctly spelled query,Corrected Narratives,Harry,Anton,Daniel,Jimmy,Kerry,Seb,Category_numbers,Category/subcategory_name,"Explanation for Lighthouse annotators (what should be in result list, what should not)",Comments if required
25,Voltaren Emugel 1%,,"Your right ankle is hurting from running 10 kilometres yesterday. You know that you have Voltaren Emugel 1% at home, but you lost its leaflet. Find out information on the Web to understand if you can use this drug to treat your injury.",voltaren emugel leaflet pdf,Voltaren Emugel 1% for running injury,voltaren ankle pain running ,voltaren emugel ankle pain,how to use Voltaren Emugel 1%,how to use Voltaren Emugel 1%,2,Drugs and medicinal substances,Result gives a description or definition of the substance.,drug information leaflet
26,pelvic inflammatory disease,,"Your physiotherapist has mentioned you may have pelvic inflammatory disease and suggested you to go to a doctor. On your way to the doctor, you have decided to search using your mobile to find out more information about how this disease can be treated.",pelvic inflammatory disease treatment,treating pelvic inflammatory disease,pevlic inflammatory disease treatments,pelvic inflammatory disease causes effects treatments,pelvic inflammatory treatment,what is pelvic inflammatory disease,1,Disease/illness/syndrome/pathological condition,Result describes how a disease is treated.,
27,breakfast school children,,"You daughter is starting school soon and her classes are very early in the morning. She wants to skip breakfast to sleep a little bit longer, but you are concerned that this might affect her health and school performance. Find out more information on whether breakfast affects school performance and what kind of diet is best for a school-age kid.",do children need breakfast before school,best breakfast for school students,child breakfast school performance diet ,breakfast and diet for school kid,kids skipping breakfasts,breakfast health young kids,6.1,Balanced diet,,
28,drug addiction organization,,You have been told one of your friends has a drug addiction. You want to find out what organizations exist that could support people with drug addiction,drug support organisations,what organisations support drug addiction,drug addiction rehab organisation,drug addict support organizations,drug addiction support group,addiction support,3,Healthcare,,"there is no particular subcategory for this one, but basically the result should be the web site of such organizations"
29,resevrse insulin ressitance,reverse insulin resistance,"You heard that the human body has mechanisms to resist to insulin. You want to find out how this resistance process could be reduced, and how this would work.",insulin resistance reduction,body mechanisms to resist insulin,human insulin resistance prevent ,insulin resistance treatment,"human body resist to insulin , how?",Insulin resistance ,1.3,Mechanism of disease development,Result describes the progress of the disease and its underlying biology.,
30,sleep apnea syndrome,,"You spent the whole night awake because your partner sounded like they were suffocating while they slept. You think that they might have apnea syndrome, and so you have decided to search for more information about how this disease can be treated. ",sleep apnea treatment,how to treat apnea syndrome,sleep apnea treatment,sleep apnea treatment,apnea causes and treatment,Symptoms and treatments for sleep apnea,1,Disease/illness/syndrome/pathological condition,Result describes how a disease is treated.,
31,marijuana's effects on mental health,,On the Last Week Tonight show you heard John Oliver telling that marijuana might affect negatively your long-term memory. Find out more information on the effects of marijuana on human memory. Was it just a joke?,effect of marijuana on memory,does marijuana affect your memory,marijuana long term memory effect,marijuan affect memory,marijuana long-term memory,Marjuana nad long term memory,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
32,Delayed onset muscle soreness,,"You have been exercising for a few weeks and felt great since. However, it's now a couple of days that you feel you your muscles are sore. You started wondering whether your muscle soreness may be due to the exercise you have been doing, although it has been quite a bit of time since you started exercising.",muscle sore prolonged exercise,Delayed muscle soreness after exercise,Muscle soreness exercise duration,muscle soreness from excercise,sore muscle after exercise,delayed muscle sorness from exercise ,6.3,Exercise and weight loss,,
33,what percent of celery is made of water,,"One of the questions in yesterday's Who Wants to be a Millionaire TV show was regarding the percent of water in celery. You could not hear what the correct answer was, and now you want to use a search engine to find out what the correct answer would have been.",celery water content,Water content of celery,celery water percentage,water percentage in celery,water percentage celery,%water in celery,6.1,Balanced diet,,
34,antiandrogen therapy for prostate cancer,,"Your neighbour was diagnosed with prostate cancer. He told you that his doctor recommended an antiandrogen therapy, but you never heard of it. Find out more information on this procedure for treating prostate cancer.",antiandrogen therapy prostate cancer, antiandrogen therapy for prostate cancer,antiandrogen treatment prostate cancer,antiandrogen therapy for prostate cancer,antiandrogen therapy ,Antiandrogen therapy,1.6,Treatment,Result describes how a disease is treated.,
35,chemicals causing prostate cancer,,"A friend of your father was recently diagnosed with prostate cancer. Your father told you that chemicals and toxins could have caused his friend's cancer. Find out more information if chemicals and toxins could cause prostate cancer, what are those chemicals and toxins and ways to prevent contact with them.",chemicals and toxins that cause prostate cancer,can chemicals and toxins cause prostate cancer,cause prostate cancer chemical toxin avoid,prostate cancer relation to chemicals and toxins,prostate cancer chemcials prevention,chemicals linked to prostate cancer,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
36,stem cell hearing loss,,Your father is the principal conductor of an orchestra and he started to lose his hearing. He is under pressure and can lose his job. A friend from college told you that scientists are using stem cells for treating a large number of diseases. Find out more information about stem cell treatments for hearing loss. ,stem cell treatment hearing loss,stem cell treatments for hearing loss,stem cell treatment hearing loss,stem cell for hearing loss,cell treatment hearing loss,Stem cells and hearing loss,1.6,Treatment,Result describes how a disease is treated.,"stem cell therapy to cure hearing loss, can be also 1.11 and 1.12"
37,How does smoking cause hypertension?,,A colleague from work is very concerned about his health. He got his blood test results and his blood pressure is high. His doctor told him to quit smoking. You did not know that smoking could cause hypertension. Find out more information on how smoking causes hypertension and what can be done to decrease blood pressure. ,decrease hypertension smoking,how to decrease blood pressure,blood pressure smoking hypertension cause decrease,smoking and hypertension how to decrease blood pressure,smoking hypertension treatment,links to smoking and hypertension and treatment,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
38,caffeine high blood pressure,,You are close to a deadline at work and you are drinking a substantial amount of coffee. A friend warned you that this might affect your blood pressure and you could have a heart attack. You wonder if she may be right. Find out more information on the effects of caffeine on your blood pressure and consequences of drinking too much caffeine.,caffeine heart attack,effects of caffeine on blood pressure,caffeine drinking side effect heart attack blood pressure ,caffeine effectes on health and blood pressure,effects of drinking too much cofffee,dangers of drinking to much caffine,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
39,long term effects of gonhrrea,long term effects of gonorrhea,You heard that the actor Jim Carry is being accused of having transmitted gonorrhoea to his deceased girlfriend. This probably means that he had gonorrhoea at some point in his life. You also heard that gonorrhoea is a disease with serious long-term effects. Find out more information on what are those long-term effects (if any).,gonorrega long term effects,long term effects of gonorrhoea,long term effect gonorrhoea ,gonorrhoea long term effects,gonorrhoea effects,long term effects of gonorrhoea,1.7,Prognosis,Result describes the prognosis for the disease.,
40,privatization of health care in canada,,"Your colleague from work told that Canada will privatize its health care system. In the age of fake-news, you would like to verify this information using a search engine. Find out more information that supports or reject the claim about the privatization of health care in Canada.",health care privatisation canada government official,is canadian health care being privatized,privatisation health care system canada ,canada health care privatisation,Canada privatize health care system real?,Privatized healthcare canada,3,Healthcare,,"there is no particular sub-category, its a healthcare rather than health information"
41,liver function test uses,,Your doctor said he wants to run some blood exams to test your liver functions. You want to find out more information about how these tests could be used to understand the correct behaviour of your liver functions.,blood test liver function,how do blood tests inform liver function,liver function blood test ,liver functions blood test understanding results and treatments,blood exam liver function,results about liver from bloodtest,4.1,Blood tests,,
42,diabetes mellitus and body fat mass,,One of your friends has been diagnosed with diabetes mellitus and he told you that he needs to change diet. He is not sure what is a good target value for his body fat mass and asked your help. Help your friend by finding out more information on the relationship between body fat mass and diabetes mellitus.,diabetus mellitus target weight,body fat mass index and diabetes mellitus,diabetes mellitus body fat mass ideal ,diabetes melitus and normal body fat mass,diabetes melllitus healthy body mass,body fat and diabetes ,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
43,health effects of ionized water therapy,,You saw on TV some advertisement on ionized water therapy. Find out more information on the credibility of this therapy and its health effects on the human body.,ionized water therapy efficacy,credibility of ionized water therapy,ionized water therapy health benefit,ionised water therapy affects health,does ionized water therapy really work?,studies of ionized water therpy,6,Healthy lifestyle,,
44,ankle avulsion fracture healing time,,You have hurt your ankle playing football with your friends yesterday. Your doctor told you that it is an avulsion fracture and you soon will be able to play football again. You would like to use a search engine to know what your doctor meant by 'soon'. Find out more information regarding the healing time of your fracture.,healing time avulsion fracture,recovery time for avulsion fracture of ankle,avulsion fracture ankle time heal sport,ankle avulsion fracture healing time,avulsion fracture recovery time,avulsion fracture healing time,1.7,Prognosis,Result describes the prognosis for the disease.,
45,affective treatments for chronic lyme disease,effective treatments for chronic lyme disease,"Your son was bitten by a tick and his exams suggest that he has Lyme disease. Before speaking with a doctor, you want to get information on possible treatments for this disease. Use a search engine to find out more information on effective treatments for Lyme disease.",lyme disease treatments,treatments for lyme disease,lyme disease treatment ,lyme disease treatments,Lyme disease treatment,treatments for lyme disease,1.6,Treatment,Result describes how a disease is treated.,
46,parkinson's disease + titanium link,,"You remember of a TV episode from the House M.D. TV series in which Dr. House helped diagnose a patient with Parkinson's disease. You vaguely remember that titanium (or another heavy metal) was involved in the diagnosis, but you cannot recall if it caused the disease or if it was the treatment. Find out more information on the relationship between Parkinson's disease and titanium. ",titanim parkinsons disease,parkinson's disease and titanium,parkinson's disease titanium cause treatment ,parkinson's disease and (titanium OR heavy metals),Parkinson disease titanium,links between parkinsions and heavy metals,1.6,Treatment,Result describes how a disease is treated.,
47,Four month infant running nose,,"Your cousin's baby, who is four months old, has had a runnign nose for a few days. Since your cousin is busy with the day-to-day care of the newborn, you want to help her find out information on how she could treat her little baby.",baby runny nose chronic,how to treat a running nose for a baby,treatment running nose baby infant ,baby runny nose treatment,newborn running nose treatment,runny nose baby,1.4,Symptoms,Result describes how a disease is treated.,could be also 1.6 for running nose for infants (note -- this has been changed to 1.6)
48,high protein diet and its human health effects,,A colleague from work shared with you today that he is on a high protein diet. You are concerned with your colleague's health and would like to find out more information on the effects of such diet on health.,high protein diet health risks,risks of high protein diet,high protein diet health effect,high protein diet affects health,high protein diet pros and cons,high protein diet health effects,6.1,Balanced diet,,
49,why is there a minimum drinking age and what are the consequences of underage drinking?,,"You read in the newspaper that politicians are thinking on changing the minimum drinking age in your region. Your friend told you that the minimum drinking age varies from country to country, in countries for which drinking alcohol is legal. However, you and your friend seem not to know why there is a minimum drinking age and what are the consequences of underage drinking. Find out more information on that using a search engine.",underage drinking risks,consequences of underage drinking,underage drinking detriment health effect,alcohol drinking underage effects,effect of underage drinking,Drinking age laws,6.4,Quitting harmful habits,,
50,feeling of fullness with hiccups with a feeling of a lump in the back of the throat,,"It's few days now that you have been having hiccups after eating. You felt you eat enough every time, in fact, you felt full. At the same time, you feel something in the back of your throat: like if you had a bump or lump. You want to search the internet to understand what you may have, so that you can decide if it's worth to make an appointment with a doctor.",swelling back of throat hiccups,hiccups and lump in back of throat,hiccup eating lump back throat cause,hiccups after eating lump in throat,throat lump hiccups,lump in back of throat after eating,1.4,Symptoms,Result describes symptoms of the disease.,
